epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3155.3,1.20407,2.40522,1.60655,0.17393,0.17241,0.0673,0.02899,1.11097,33.8112,1.45808,0.000660194,0.000660194,0.000660194
2,5868.05,1.31224,1.84639,1.65452,0.0821,0.46552,0.07536,0.04335,1.29363,88.5263,1.45538,0.0011955,0.0011955,0.0011955
3,8591.34,1.34469,1.51353,1.67931,0.06944,0.25862,0.05287,0.02757,1.15722,49.0159,1.39222,0.00159881,0.00159881,0.00159881
4,40394.2,1.27007,1.28877,1.61734,0.11358,0.65517,0.1169,0.06178,1.01458,51.5262,1.21746,0.001406,0.001406,0.001406
5,42179.2,1.20903,1.14932,1.54901,0.11454,0.60345,0.10908,0.06141,0.99323,45.2069,1.12872,0.001208,0.001208,0.001208
6,44460.8,1.1571,1.02746,1.50373,0.12863,0.75862,0.12751,0.07152,0.9235,35.3289,1.09544,0.00101,0.00101,0.00101
7,46239.1,1.0718,0.90824,1.43285,0.11895,0.7931,0.11765,0.07723,0.8111,39.667,0.98034,0.000812,0.000812,0.000812
8,49248.7,1.0078,0.83231,1.36757,0.13433,0.82759,0.1369,0.085,0.7635,43.219,0.95606,0.000614,0.000614,0.000614
9,51032.2,0.9649,0.75771,1.32972,0.14385,0.89655,0.1394,0.0916,0.78088,46.0829,0.9324,0.000416,0.000416,0.000416
10,54510,0.9071,0.70409,1.2731,0.14439,0.91379,0.14003,0.09413,0.70611,53.178,0.88709,0.000218,0.000218,0.000218
